Kline_open_time,Open_price,High_price,Low_price,Close_price,Volume,Kline_close_time,Quote_asset_volume,Number_of_trades,buy_base_volume,buy_quote_volume,ignore
1711051200000,65223.73000000,65489.61000000,64529.01000000,65481.10000000,1444.21007000,1711052099999,93790826.18944970,51522,670.54170000,43575638.84325600,0
1711050300000,65342.86000000,65484.00000000,65190.40000000,65223.74000000,593.85629000,1711051199999,38802525.72727950,23681,239.52369000,15652633.21033990,0
1711049400000,65196.00000000,65568.56000000,65170.37000000,65342.86000000,836.24116000,1711050299999,54720270.81506530,29211,363.26502000,23768608.15022920,0
1711048500000,65199.99000000,65214.90000000,64956.26000000,65195.99000000,815.70194000,1711049399999,53117263.88234320,26022,429.78436000,27991828.14161840,0
1711047600000,65133.66000000,65274.15000000,65024.18000000,65200.00000000,873.79056000,1711048499999,56930853.73066350,31887,349.15206000,22749240.89890360,0
1711046700000,64908.00000000,65247.06000000,64871.01000000,65133.67000000,632.64585000,1711047599999,41184675.50017400,28223,339.71156000,22113704.62613660,0
1711045800000,65539.99000000,65542.00000000,64872.23000000,64908.01000000,1128.71752000,1711046699999,73599155.44402780,43668,457.58769000,29850019.10844490,0
1711044900000,65233.99000000,65548.50000000,65100.01000000,65540.00000000,1002.19503000,1711045799999,65443694.32144310,35787,534.71878000,34923730.03501310,0
1711044000000,65724.99000000,65867.92000000,65214.12000000,65234.00000000,1266.24915000,1711044899999,82973294.34352210,41857,510.26659000,33448398.14328500,0
1711043100000,66008.01000000,66040.00000000,65666.00000000,65724.99000000,1016.86265000,1711043999999,66965873.56482410,42628,453.37498000,29855553.44289010,0
1711042200000,66204.55000000,66410.00000000,66005.68000000,66008.01000000,695.14761000,1711043099999,45999841.12691180,34247,366.14550000,24232198.88158990,0
1711041300000,66656.00000000,66656.05000000,66204.55000000,66204.56000000,522.70177000,1711042199999,34725261.34627620,25664,238.95038000,15875321.30673630,0
1711040400000,66791.93000000,67000.00000000,66536.05000000,66656.00000000,514.17497000,1711041299999,34341251.46830960,28850,240.17023000,16045137.83062000,0
1711039500000,66550.00000000,66826.75000000,66456.81000000,66791.93000000,342.01356000,1711040399999,22786288.55324980,23396,219.56771000,14627530.09912210,0
1711038600000,66672.00000000,66672.01000000,66433.54000000,66550.01000000,289.91307000,1711039499999,19293064.71800900,22445,125.46315000,8349323.94367640,0
1711037700000,66383.83000000,66755.00000000,66278.38000000,66672.01000000,577.43118000,1711038599999,38437464.23462500,27839,323.10063000,21511420.79503900,0
1711036800000,66557.77000000,66558.51000000,66183.90000000,66383.83000000,775.80616000,1711037699999,51466361.93237260,25462,428.08316000,28397108.64995060,0
1711035900000,66439.99000000,66557.92000000,66222.13000000,66557.77000000,458.93960000,1711036799999,30475953.42872930,21761,235.95490000,15669266.91616290,0
1711035000000,66264.00000000,66476.36000000,66060.00000000,66439.99000000,730.68506000,1711035899999,48406337.02453460,35933,416.32646000,27580128.93340830,0
1711034100000,66316.00000000,66545.20000000,66157.20000000,66264.00000000,764.72300000,1711034999999,50727372.15562150,35386,416.75581000,27644683.77004490,0
1711033200000,66860.07000000,66981.01000000,65885.96000000,66316.00000000,1440.97770000,1711034099999,95760165.46259020,59789,589.51842000,39210120.98371090,0
1711032300000,67049.99000000,67059.47000000,66760.01000000,66860.07000000,331.70294000,1711033199999,22188304.43401840,21690,159.57631000,10673467.94609410,0
1711031400000,67180.79000000,67203.44000000,66937.71000000,67049.99000000,410.81444000,1711032299999,27536558.59645200,21158,198.55939000,13308841.88696960,0
1711030500000,67064.69000000,67395.20000000,67012.99000000,67180.78000000,570.70063000,1711031399999,38360071.09667820,26074,332.05630000,22321014.22311730,0
1711029600000,66736.01000000,67196.85000000,66531.53000000,67064.69000000,725.05006000,1711030499999,48459447.77558570,33264,445.38030000,29768312.63788270,0
1711028700000,67035.99000000,67110.49000000,66620.00000000,66736.01000000,1071.49284000,1711029599999,71607854.76162980,40685,514.58335000,34384676.66021370,0
1711027800000,67588.01000000,67620.00000000,67005.00000000,67035.99000000,893.67321000,1711028699999,60106733.37210460,39179,418.19924000,28128373.92594710,0
1711026900000,67487.94000000,67693.60000000,67284.79000000,67588.01000000,623.19036000,1711027799999,42057666.20353010,27602,360.51519000,24333036.54844810,0
1711026000000,67244.01000000,67644.00000000,67236.00000000,67487.94000000,687.45445000,1711026899999,46383597.63448440,28067,429.45276000,28973053.80023450,0
1711025100000,67166.02000000,67287.88000000,67000.00000000,67244.01000000,396.65048000,1711025999999,26652173.61527250,23755,209.68281000,14090980.81959830,0
1711024200000,67309.79000000,67469.00000000,67166.02000000,67166.03000000,465.99040000,1711025099999,31356513.41328450,26274,270.75515000,18219287.31443550,0
1711023300000,67300.00000000,67359.92000000,67136.00000000,67309.80000000,286.35975000,1711024199999,19267133.19698000,17593,162.50424000,10933067.25534320,0
1711022400000,67044.01000000,67300.00000000,67044.00000000,67299.99000000,385.85729000,1711023299999,25933846.45724160,18447,237.93595000,15991797.42401040,0
1711021500000,67183.99000000,67184.00000000,67007.21000000,67044.00000000,254.58785000,1711022399999,17079867.08722020,18025,103.58802000,6949049.22270990,0
1711020600000,66876.04000000,67229.62000000,66810.00000000,67183.99000000,392.94280000,1711021499999,26342850.53491210,21376,221.49475000,14849226.58403530,0
1711019700000,67100.01000000,67128.48000000,66740.00000000,66876.04000000,400.90398000,1711020599999,26828617.68196420,19198,188.18973000,12593038.66774460,0
1711018800000,66966.83000000,67124.02000000,66890.00000000,67100.01000000,323.22389000,1711019699999,21656466.53516660,19272,192.84064000,12920209.48453200,0
1711017900000,66744.00000000,67009.53000000,66744.00000000,66966.84000000,311.36821000,1711018799999,20837054.13746830,17165,188.76023000,12631255.49780190,0
1711017000000,66892.03000000,66918.73000000,66660.00000000,66743.98000000,258.77440000,1711017899999,17279150.19998030,16282,123.47515000,8244899.77472100,0
1711016100000,66992.00000000,66992.01000000,66772.62000000,66892.03000000,256.02414000,1711016999999,17118914.39361200,16839,129.40502000,8652205.13009730,0
1711015200000,66843.96000000,67020.00000000,66720.00000000,66992.01000000,356.30643000,1711016099999,23825802.98253550,20515,204.63525000,13684365.27498160,0
